"ProblemName","Status","Time (sec)","Objective value (ACS)","Objective value (optimal)","Type","PrimalGap"
"markshare_4_0","Feasible","0.392820","9.000000","1","easy","0.888889"
"markshare2","Feasible","30.022194","20.000000","1","hard","0.950000"
"enlight_hard","Bug OMIP","12.865804"," / ","37","easy"," / "
"pk1","Feasible","0.340685","33.000000","11","easy","0.666667"
"neos5","Feasible","0.523030","15.000000","15","easy","0.000000"
"gen-ip054","Feasible","0.003286","993491475750.104004","6840.96564179","easy","1.000000"
"neos859080","Solution not found (iteration limit exceded)","0.533976"," / ","Infeasible","easy"," / "
"timtab1","Feasible","7.268200","938020.000000","764771.99999978","easy","0.184695"
"neos-3046615-murg","Feasible","0.726827","33822045605.000000","1600","easy","1.000000"
"sp150x300d","Feasible","0.490310","73.000000","69","easy","0.054795"
"mas76","Feasible","7.412058","40462.807964","40005.05398999999","easy","0.011313"
"mas74","Feasible","7.248725","17524.892379","11801.18572","easy","0.326604"
"glass4","Feasible","0.662313","2000020200.000000","1200012599.972384","easy","0.400000"
"neos-3754480-nidda","Feasible","7.025576","14638.510083","12941.73838561778","easy","0.115912"
"neos-2657525-crna","Feasible","8.617169","11.458649","1.810748","easy","0.841975"
"assign1-5-8","Feasible","30.368149","215.000000","211.999999999998","easy","0.013953"
"fhnw-binpack4-4","Solution not found (iteration limit exceded)","32.273717"," / ","Infeasible","easy"," / "
"supportcase26","Feasible","2.594819","2187.346627","1745.123813","easy","0.202173"
"neos-911970","Feasible","0.611712","67.030000","54.76","easy","0.183052"
"mad","Feasible","30.061270","0.079000","0.0268","easy","0.660759"
"graphdraw-domain","Feasible","1.038267","29831.000000","19685.99997550038","easy","0.340082"
"tr12-30","Feasible","30.091261","135215.000000","130595.9999999999","easy","0.034160"
"exp-1-500-5-5","Feasible","1.612409","87980.000000","65887","easy","0.251114"
"neos-3381206-awhea","Feasible","3.910097","453.000000","453","easy","0.000000"
"ic97_potential","Bug OMIP","65.637295"," / ","3941.99993090225","easy"," / "
"neos-3627168-kasai","Feasible","3.701148","1026841.570000","988585.6199999998","easy","0.037256"
"binkar10_1","Feasible","0.237752","6989.700035","6742.1998835","easy","0.035409"
"csched008","Feasible","2.408084","185.000000","173","easy","0.064865"
"csched007","Feasible","39.014558","542.000000","350.9999999999955","easy","0.352399"
"beasleyC3","Feasible","16.275940","1644.000000","753.9999999999128","easy","0.541363"
"p200x1188c","Feasible","0.104334","653664.000000","15078","easy","0.976933"
"neos-4338804-snowy","Feasible","3.203501","2542.000000","1471","hard","0.421322"
"50v-10","Feasible","0.031480","1931771.694878","3311.1799841","easy","0.998286"
"pg","Feasible","2.447802","-8175.289641","-8674.34260712","easy","0.057532"
"mc11","Feasible","5.348420","28613.000000","11688.99999999966","easy","0.591479"
"gmu-35-40","Feasible","81.415405","-2302468.376700","-2406733.3688","easy","0.043322"
"neos-4954672-berkel","Feasible","19.872898","2995288.000000","2612710","easy","0.127727"
"mik-250-20-75-4","Feasible","0.380751","62816.000000","-52301","easy","1.000000"
"mcsched","Solution not found (iteration limit exceded)","2.546618"," / ","211913","easy"," / "
"pg5_34","Feasible","1.321552","-13647.140086","-14339.35345","easy","0.048274"
"n5-3","Feasible","0.109945","5493945.000000","8104.999999993999","easy","0.998525"
"lotsize","Feasible","45.513463","1882789.999971","1480195","easy","0.213829"
"ran14x18-disj-8","Feasible","0.053891","9257.000000","3712","easy","0.599006"
"rococoC10-001000","Feasible","4.895666","21238.000000","11460","easy","0.460401"
"gmu-35-50","Feasible","141.516855","-2605018.608200","-2607958.33","easy","0.001127"
"b1c1s1","Feasible","8.659001","30226.920000","24544.25","easy","0.188000"
"uct-subprob","Feasible","36.330961","325.000000","314","easy","0.033846"
"neos17","Feasible","0.556574","0.391097","0.1500025774","easy","0.616457"
"bppc4-08","Feasible","30.130389","54.000000","53","easy","0.018519"
