"ProblemName","Type","Status","Time (sec)","Iteration (n)","Objective value (ACS)","Objective value (optimal)","PrimalGap"
"markshare_4_0","easy","Feasible","0.266492","1","9.000000","1","0.888889"
"markshare2","hard","Feasible","30.036079","1","20.000000","1","0.950000"
"enlight_hard","easy","Solution not found (iteration limit exceded)","30.757470","15"," / ","37"," / "
"pk1","easy","Feasible","1.845255","1","43.000000","11","0.744186"
"neos5","easy","Feasible","0.014089","1","15.500000","15","0.032258"
"gen-ip054","easy","Feasible","0.003027","1","4374716.350617","6840.96564179","0.998436"
"neos859080","easy","Solution not found (iteration limit exceded)","1.529033","15"," / ","Infeasible"," / "
"timtab1","easy","Feasible","10.798169","3","923728.983475","764771.99999978","0.172082"
"neos-3046615-murg","easy","Feasible","25.556796","7","1948.000000","1600","0.178645"
"sp150x300d","easy","Feasible","0.657180","5","98.000000","69","0.295918"
"mas76","easy","Feasible","2.266123","1","46854.054142","40005.05398999999","0.146177"
"mas74","easy","Feasible","16.052920","1","13090.542455","11801.18572","0.098495"
"gen-ip002","easy","Feasible","6.766736","6","-4783.733392","-4783.733392","0.000000"
"glass4","easy","Feasible","1.826939","2","1900015800.000000","1200012599.972384","0.368420"
"neos-3754480-nidda","easy","Feasible","5.026984","1","13130.263510","12941.73838561778","0.014358"
"neos-2657525-crna","easy","Feasible","9.200198","14","8.887618","1.810748","0.796262"
"assign1-5-8","easy","Feasible","41.084967","2","212.000000","211.999999999998","0.000000"
"fhnw-binpack4-4","easy","Solution not found (iteration limit exceded)","20.898500","15"," / ","Infeasible"," / "
"supportcase26","easy","Feasible","5.288745","14","1963.545969","1745.123813","0.111239"
"neos-911970","easy","Feasible","0.887910","2","77.950000","54.76","0.297498"
"mad","easy","Feasible","11.458953","2","0.099600","0.0268","0.730924"
"graphdraw-domain","easy","Feasible","2.054725","3","24319.000000","19685.99997550038","0.190509"
"tr12-30","easy","Feasible","3.501359","1","135717.000000","130595.9999999999","0.037733"
"exp-1-500-5-5","easy","Feasible","3.014026","2","72778.000000","65887","0.094685"
"neos-3381206-awhea","easy","Feasible","7.401004","4","458.000000","453","0.010917"
"ic97_potential","easy","Feasible","54.140986","6","4076.000000","3941.99993090225","0.032875"
"neos-3627168-kasai","easy","Feasible","2.426649","1","1010413.130000","988585.6199999998","0.021603"
"binkar10_1","easy","Feasible","1.055187","3","6793.550012","6742.1998835","0.007559"
"csched008","easy","Feasible","2.352368","3","189.000000","173","0.084656"
"csched007","easy","Feasible","163.188077","5","514.000000","350.9999999999955","0.317121"
"beasleyC3","easy","Feasible","15.267204","2","1708.000000","753.9999999999128","0.558548"
"p200x1188c","easy","Feasible","0.033664","1","634834.000000","15078","0.976249"
"neos-4338804-snowy","hard","Feasible","0.840908","4","1854.000000","1471","0.206580"
"50v-10","easy","Feasible","0.015832","1","2798375.462659","3311.1799841","0.998817"
"pg","easy","Feasible","2.234109","1","-7875.731597","-8674.34260712","0.092066"
"mc11","easy","Feasible","4.381966","1","28606.000000","11688.99999999966","0.591379"
"gmu-35-40","easy","Feasible","137.933531","6","-2333802.536400","-2406733.3688","0.030303"
"neos-4954672-berkel","easy","Feasible","1.130401","1","3275237.000000","2612710","0.202284"
"mik-250-20-75-4","easy","Feasible","0.708855","4","102270.000000","-52301","1.000000"
"mcsched","easy","Solution not found (iteration limit exceded)","3.594857","15"," / ","211913"," / "
"pg5_34","easy","Feasible","1.953988","1","-13977.120934","-14339.35345","0.025261"
"n5-3","easy","Feasible","0.170746","1","5728670.000000","8104.999999993999","0.998585"
"lotsize","easy","Feasible","72.080602","3","1826777.999934","1480195","0.189724"
"ran14x18-disj-8","easy","Feasible","0.057470","1","9099.000000","3712","0.592043"
"rococoC10-001000","easy","Feasible","5.578053","8","47503.000000","11460","0.758752"
"gmu-35-50","easy","Feasible","115.675823","4","-2399607.878100","-2607958.33","0.079890"
"b1c1s1","easy","Feasible","30.066216","1","31646.010000","24544.25","0.224412"
"uct-subprob","easy","Feasible","46.761508","2","327.000000","314","0.039755"
"neos17","easy","Feasible","6.776212","2","0.302355","0.1500025774","0.503886"
"bppc4-08","easy","Feasible","16.035777","3","58.000000","53","0.086207"
"qap10","easy","Feasible","43.275037","3","480.000000","339.9999999983871","0.291667"
"cvs16r128-89","easy","Feasible","16.845345","9","-89.000000","-97","0.082474"
"milo-v12-6-r2-40-1","easy","Feasible","736.537040","14","358710.679605","326481.14282799","0.089848"
"reblock115","easy","Feasible","92.355598","4","-33252805.360610","-36800603.2332","0.096406"
"fhnw-binpack4-48","easy","Solution not found (iteration limit exceded)","428.556447","15"," / ","0"," / "
"rococoB10-011000","easy","Feasible","90.646399","8","31374.000000","19449","0.380092"
"roll3000","easy","Feasible","24.514302","5","15214.000000","12889.999992","0.152754"
"cost266-UUE","easy","Feasible","55.183277","2","28507481.470000","25148940.55999998","0.117813"
"icir97_tension","easy","Feasible","90.025253","5","6479.000000","6375","0.016052"
"neos-3024952-loue","easy","Feasible","227.444510","5","82930.000000","26756","0.677366"
"neos-4738912-atrato","easy","Feasible","125.923683","14","862495727.538269","283627956.595","0.671154"
"fastxgemm-n2r6s0t2","easy","Feasible","22.918947","1","230.000000","230","0.000000"
"nu25-pr12","easy","Solution not found (iteration limit exceded)","97.872055","15"," / ","53904.99999999999"," / "
"neos-5107597-kakapo","easy","Feasible","87.966131","10","13950.000000","3644.99999999952","0.738710"
"neos-4387871-tavua","hard","Feasible","61.923280","3","48.284200","33.384729927","0.308579"
"sct2","easy","Feasible","33.514217","3","-224.422007","-230.9891623","0.028431"
"bnatt400","easy","Solution not found (iteration limit exceded)","201.195446","15"," / ","1"," / "
"app1-1","easy","Solution not found (iteration limit exceded)","31.248108","15"," / ","-3"," / "
"supportcase18","easy","Feasible","40.210835","5","48.000000","48","0.000000"
"seymour","easy","Feasible","2.296794","2","455.000000","423","0.070330"
"seymour1","easy","Feasible","26.543238","3","418.562538","410.76370139","0.018632"
"eil33-2","easy","Feasible","0.558243","3","1352.597189","934.007915999999","0.309471"
"rmatr100-p10","easy","Feasible","1.302609","1","495.000000","423","0.145455"
"bnatt500","easy","Solution not found (time limit exceded)","128.116748","3"," / ","Infeasible"," / "
"neos-3083819-nubu","easy","Feasible","39.692660","8","6577218.000000","6307996","0.040933"
"graph20-20-1rand","easy","Feasible","44.398276","12","-6.000000","-9","0.333333"
"neos-1582420","easy","Feasible","1.327032","4","134.000000","90.99999999999996","0.320896"
"swath1","easy","Feasible","1.775981","4","476.926866","379.07129575","0.205179"
"swath3","easy","Feasible","1.078624","3","553.716776","397.76134365","0.281652"
"peg-solitaire-a3","easy","Solution not found (iteration limit exceded)","1375.681041","15"," / ","1"," / "
"neos-1456979","easy","Feasible","37.914084","5","215.000000","176","0.181395"
"cod105","easy","Feasible","86.044294","5","-12.000000","-12","0.000000"
"h80x6320d","easy","Feasible","34.966054","3","8552.498382","6382.099048245999","0.253774"
"air05","easy","Feasible","37.286851","4","30256.000000","26374","0.128305"
"rocI-4-11","easy","Solution not found (time limit exceded)","335.204232","7"," / ","-6020203"," / "
"neos-1445765","easy","Solution not found (time limit exceded)","120.459696","2"," / ","-17783"," / "
"neos-1171737","easy","Feasible","39.967060","2","-195.000000","-195","0.000000"
"glass-sc","easy","Feasible","0.752823","1","43.000000","23","0.465116"
"drayage-100-23","easy","Feasible","13.276635","4","147438.615932","103333.87407","0.299140"
"drayage-25-23","easy","Feasible","2.394709","3","185181.538525","101282.647018","0.453063"
"nexp-150-20-8-5","easy","Feasible","60.913315","3","292.000000","231","0.208904"
"ns1208400","easy","Feasible","159.188524","4","2.000000","2","0.000000"
"traininstance6","easy","Solution not found (iteration limit exceded)","123.457769","15"," / ","28290"," / "
"dano3_3","easy","Feasible","14.653677","1","577.781095","576.34463303","0.002486"
"dano3_5","easy","Feasible","62.448231","2","578.788173","576.9249159565619","0.003219"
"neos-2978193-inde","easy","Feasible","0.355422","1","-1.908812","-2.38806169","0.200686"
"neos-3004026-krka","easy","Solution not found (time limit exceded)","183.015299","1"," / ","0"," / "
"traininstance2","easy","Solution not found (time limit exceded)","64.067462","4"," / ","71820"," / "
"wachplan","easy","Feasible","3.866354","6","-8.000000","-8","0.000000"
"CMS750_4","easy","Feasible","49.861716","3","427.000000","252","0.409836"
"piperout-08","easy","Solution not found (time limit exceded)","231.020358","10"," / ","125054.9999999999"," / "
"ns1830653","easy","Solution not found (time limit exceded)","60.206696","1"," / ","20622"," / "
"decomp2","easy","Feasible","31.238669","11","-95.000000","-160","0.406250"
"comp21-2idx","easy","Feasible","94.265804","5","3077.000000","74","0.975951"
"neos-3216931-puriri","easy","Solution not found (time limit exceded)","180.363194","3"," / ","71320"," / "
"dws008-01","easy","Solution not found (time limit exceded)","86.018222","2"," / ","37412.60458794508"," / "
"neos-3656078-kumeu","hard","Solution not found (time limit exceded)","80.141001","1"," / ","-13172.2"," / "
"piperout-27","easy","Solution not found (time limit exceded)","168.079174","7"," / ","8123.999999999973"," / "
"istanbul-no-cutoff","easy","Feasible","15.594134","2","212.961369","204.08170701","0.041696"
"trento1","easy","Feasible","40.211422","2","177838344.012000","5189487","0.970819"
"cbs-cta","easy","Feasible","2.645763","2","0.000000","0","0.000000"
"net12","easy","Feasible","17.179793","6","316.000000","214","0.322785"
"fiball","easy","Feasible","130.164934","7","162.000000","138","0.148148"
"mzzv11","easy","Solution not found (time limit exceded)","80.616417","2"," / ","-21718"," / "
"leo1","easy","Feasible","0.386733","2","654128314.400000","404227536.16","0.382036"
"irp","easy","Feasible","0.823957","4","12536.934707","12159.49283539698","0.030106"
"mzzv42z","easy","Solution not found (time limit exceded)","35.475360","1"," / ","-20540"," / "
"neos-950242","easy","Solution not found (iteration limit exceded)","49.485276","15"," / ","4"," / "
"neos-1354092","easy","Solution not found (time limit exceded)","384.704620","7"," / ","46"," / "
"30n20b8","easy","Solution not found (iteration limit exceded)","52.270612","15"," / ","302"," / "
"comp07-2idx","easy","Feasible","68.675543","3","1498.000000","6","0.995995"
"neos-1171448","easy","Feasible","11.980500","2","-309.000000","-309","0.000000"
"neos-827175","easy","Feasible","64.278140","4","113.001760","112.00152","0.008852"
"neos-5188808-nattai","easy","Feasible","20.624992","2","0.556023","0.110283622999984","0.801656"
"satellites2-60-fs","easy","Solution not found (iteration limit exceded)","1034.850236","15"," / ","-19.0000000001"," / "
"brazil3","easy","Solution not found (time limit exceded)","221.902295","5"," / ","24"," / "
"neos-662469","easy","Feasible","10.840949","5","2259459.000000","184379.9999999999","0.918396"
"momentum1","easy","Feasible","175.884103","7","218109.848109","109143.4935","0.499594"
"mushroom-best","easy","Feasible","9.313502","2","63.197712","0.0553337612","0.999124"
"germanrr","easy","Solution not found (time limit exceded)","215.148330","4"," / ","47095869.649"," / "
"rmatr200-p5","easy","Feasible","52.662805","2","5236.000000","4521","0.136555"
"unitcal_7","easy","Solution not found (time limit exceded)","288.136758","3"," / ","19635558.244"," / "
"radiationm18-12-05","easy","Solution not found (time limit exceded)","119.440395","4"," / ","17566"," / "
"supportcase40","easy","Feasible","33.306360","3","26600.251019","24256.3122898","0.088117"
"n2seq36q","easy","Feasible","2.381409","4","109000.000000","52200","0.521101"
"leo2","easy","Feasible","0.447167","3","2650055991.320000","404077441.12","0.847521"
"neos-960392","easy","Feasible","455.789628","12","-238.000000","-238","0.000000"
"cmflsp50-24-8-8","easy","Solution not found (time limit exceded)","154.433558","2"," / ","55789389.886"," / "
"neos-5195221-niemur","easy","Solution not found (iteration limit exceded)","151.925235","15"," / ","0.0038354326"," / "
"nursesched-sprint02","easy","Feasible","12.425175","4","314.000000","57.99999999999999","0.815287"
"tbfp-network","easy","Feasible","59.580259","4","135.163194","24.16319444","0.821229"
"blp-ic98","easy","Feasible","1.509135","3","5445.731816","4491.44758395","0.175235"
"neos-860300","easy","Solution not found (time limit exceded)","53.418711","1"," / ","3200.999999999998"," / "
"blp-ar98","easy","Feasible","38.562340","4","6915.648421","6205.2147104","0.102728"
"neos-933966","easy","Feasible","39.454894","4","324.000000","318","0.018519"
"lectsched-5-obj","easy","Solution not found (time limit exceded)","104.887312","1"," / ","24"," / "
"chromaticindex512-7","easy","Feasible","31.219010","4","4.000000","4","0.000000"
"ns1952667","easy","Solution not found (time limit exceded)","60.523063","3"," / ","0"," / "
"neos-4300652-rahue","easy","Solution not found (iteration limit exceded)","283.737144","15"," / ","2.1416"," / "
"neos-1122047","easy","Feasible","23.427159","2","161.000000","161","0.000000"
"satellites2-40","easy","Solution not found (iteration limit exceded)","894.447351","15"," / ","-19"," / "
"supportcase33","easy","Feasible","106.160086","5","0.000000","-345","1.000000"
"academictimetablesmall","easy","Solution not found (time limit exceded)","163.853780","3"," / ","0"," / "
"sp97ar","easy","Feasible","0.424912","3","3831886104.639999","660705645.759","0.827577"
"hypothyroid-k1","easy","Feasible","6.650862","4","-46.000000","-2851","0.983865"
"fast0507","easy","Feasible","1.306561","2","261.000000","174","0.333333"
"neos8","easy","Feasible","105.583916","9","-3119.000000","-3719","0.161334"
"neos-3988577-wolgan","easy","Solution not found (time limit exceded)","110.434304","1"," / ","Infeasible"," / "
"rocII-5-11","easy","Solution not found (time limit exceded)","154.774975","3"," / ","-6.675504731538"," / "
"app1-2","easy","Solution not found (iteration limit exceded)","51.684081","15"," / ","-41"," / "
"atlanta-ip","easy","Solution not found (iteration limit exceded)","224.277745","15"," / ","90.009878614"," / "
"neos-2746589-doon","easy","Solution not found (time limit exceded)","316.098116","6"," / ","2008.199999999999"," / "
"neos-787933","easy","Feasible","2.774153","4","1567.000000","30","0.980855"
"sing326","easy","Solution not found (time limit exceded)","508.996762","8"," / ","7753674.85376"," / "
"n3div36","easy","Feasible","0.250063","3","2347000.000000","130800","0.944269"
"sing44","easy","Solution not found (time limit exceded)","497.470835","7"," / ","8128831.1772"," / "
"sp98ar","easy","Feasible","4.895122","3","1141943700.640000","529740623.2","0.536106"
"neos-4722843-widden","easy","Solution not found (time limit exceded)","135.487791","4"," / ","25009.662227"," / "
"cryptanalysiskb128n5obj16","easy","Solution not found (time limit exceded)","106.364658","1"," / ","0"," / "
"cryptanalysiskb128n5obj14","hard","Solution not found (time limit exceded)","90.834034","1"," / ","Infeasible"," / "
"rail507","easy","Feasible","0.181357","1","2533.000000","174","0.931307"
"thor50dday","hard","Feasible","1.133170","1","76836836.000000","40417","0.999474"
"nw04","easy","Feasible","3.680355","4","21586.000000","16862","0.218846"
"uccase9","easy","Solution not found (time limit exceded)","60.358964","0"," / ","10993.131409"," / "
"triptim1","easy","Solution not found (iteration limit exceded)","137.097828","15"," / ","22.8680999999999"," / "
"neos-957323","easy","Feasible","94.543517","8","-237.753309","-237.7566815","0.000014"
"rail01","easy","Solution not found (time limit exceded)","115.648129","2"," / ","-70.5699643"," / "
"opm2-z10-s4","hard","Feasible","126.894194","5","-17601.000000","-33269","0.470949"
"proteindesign122trx11p8","easy","Feasible","76.618790","12","1793.000000","1747","0.025655"
"neos-2987310-joes","easy","Solution not found (iteration limit exceded)","169.871388","15"," / ","-607702988.3"," / "
"ns1116954","easy","Solution not found (iteration limit exceded)","397.801070","15"," / ","0"," / "
"chromaticindex1024-7","easy","Feasible","58.144103","4","4.000000","4","0.000000"
"supportcase42","easy","Feasible","10.613320","1","6822151988400963584.000000","7.75863072227","1.000000"
"ex9","easy","Solution not found (time limit exceded)","98.611178","2"," / ","81"," / "
"irish-electricity","easy","Solution not found (time limit exceded)","63.218454","0"," / ","3723497.591396"," / "
"neos-5093327-huahum","easy","Solution not found (time limit exceded)","60.410546","0"," / ","6259.999997125895"," / "
"proteindesign121hz512p9","easy","Feasible","130.310298","11","1507.000000","1473","0.022561"
"sorrell3","easy","Feasible","61.327639","2","-16.000000","-16","0.000000"
"supportcase10","hard","Solution not found (iteration limit exceded)","481.786757","15"," / ","7"," / "
"neos-873061","easy","Feasible","36.274905","2","9626.284332","113.6562385063","0.988193"
"nursesched-medium-hint03","hard","Feasible","79.291846","5","11227.000000","115","0.989757"
"neos-4763324-toguru","easy","Feasible","57.316385","13","4089.647970","1613.03884585","0.605580"
"uccase12","easy","Solution not found (time limit exceded)","71.743490","0"," / ","11507.4050616"," / "
"physiciansched6-2","easy","Solution not found (time limit exceded)","68.693055","1"," / ","49324"," / "
"neos-4532248-waihi","easy","Solution not found (time limit exceded)","120.999225","3"," / ","61.59999999999999"," / "
"var-smallemery-m6j6","easy","Feasible","97.458793","5","227.250000","-149.37501","1.000000"
"eilA101-2","easy","Feasible","86.989018","6","1859.688587","880.9201079999999","0.526308"
"radiationm40-10-02","hard","Solution not found (time limit exceded)","34.598686","0"," / ","155328"," / "
"netdiversion","easy","Solution not found (time limit exceded)","131.405905","2"," / ","242"," / "
"snp-02-004-104","easy","Feasible","72.734671","3","725486635.850697","586803238.6567289","0.191159"
"rd-rplusc-21","easy","Feasible","257.666395","12","165810.628414","165395.275295","0.002505"
"neos-3555904-turama","easy","Solution not found (time limit exceded)","130.308330","3"," / ","-34.7"," / "
"map10","easy","Feasible","35.355471","2","-284.000000","-495","0.426263"
"map16715-04","easy","Feasible","56.583785","2","-111.000000","-111","0.000000"
"rail02","easy","Solution not found (time limit exceded)","32.280153","0"," / ","-200.4499077"," / "
"supportcase6","easy","Feasible","10.245990","5","322555.147020","51906.47737","0.839077"
"neos-4413714-turia","easy","Feasible","28.599928","4","499.942084","45.3701670199998","0.909249"
"neos-631710","easy","Solution not found (time limit exceded)","324.043825","8"," / ","203"," / "
"buildingenergy","easy","Feasible","186.660929","3","40850835.289118","33283.853236","0.999185"
"k1mushroom","easy","Feasible","106.264658","6","-48.000000","-3288","0.985401"
"splice1k1","easy","Feasible","42.177174","3","-6.000000","-394","0.984772"
"physiciansched3-3","easy","Solution not found (time limit exceded)","155.960940","2"," / ","2623271.326667"," / "
"ex10","easy","Solution not found (time limit exceded)","223.746853","4"," / ","100"," / "
"bab6","hard","Solution not found (time limit exceded)","125.284438","2"," / ","-284248.2307000001"," / "
"ns1644855","easy","Solution not found (time limit exceded)","64.879683","1"," / ","-1524.33333333333"," / "
"neos-848589","easy","Feasible","64.048103","2","806371.007200","2351.40309999697","0.997084"
"roi2alpha3n4","easy","Feasible","42.047633","5","-54.762220","-63.20849503","0.133626"
