"ProblemName","Type","Status","Time (sec)","Iteration (n)","Objective value (ACS)","Objective value (optimal)","PrimalGap"
"markshare_4_0","easy","Feasible","0.083926","1","55.000000","1","0.981818"
"markshare2","hard","Feasible","2.103030","1","51.000000","1","0.980392"
"enlight_hard","easy","Solution not found (iteration limit exceded)","0.571443","10"," / ","37"," / "
"pk1","easy","Feasible","0.103884","1","57.000000","11","0.807018"
"neos5","easy","Feasible","0.011884","1","18.500000","15","0.189189"
"gen-ip054","easy","Feasible","0.006648","1","866666548668.661255","6840.96564179","1.000000"
"neos859080","easy","Solution not found (iteration limit exceded)","0.791166","10"," / ","Infeasible"," / "
"timtab1","easy","Feasible","2.554335","6","1069380.000000","764771.99999978","0.284845"
"neos-3046615-murg","easy","Feasible","0.624981","8","101889121.000000","1600","0.999984"
"sp150x300d","easy","Feasible","1.001611","8","132.000000","69","0.477273"
"mas76","easy","Feasible","14.527603","2","41850.860989","40005.05398999999","0.044104"
"mas74","easy","Feasible","32.664450","2","21106.847155","11801.18572","0.440884"
"gen-ip002","easy","Solution not found (iteration limit exceded)","0.116324","10"," / ","-4783.733392"," / "
"glass4","easy","Feasible","0.466035","3","2325025350.000000","1200012599.972384","0.483871"
"neos-3754480-nidda","easy","Feasible","0.309605","1","15812.273922","12941.73838561778","0.181538"
"neos-2657525-crna","easy","Solution not found (iteration limit exceded)","0.883864","10"," / ","1.810748"," / "
"assign1-5-8","easy","Feasible","0.116518","2","222.000000","211.999999999998","0.045045"
"fhnw-binpack4-4","easy","Solution not found (iteration limit exceded)","1.853845","10"," / ","Infeasible"," / "
"supportcase26","easy","Solution not found (iteration limit exceded)","1.569169","10"," / ","1745.123813"," / "
"neos-911970","easy","Feasible","0.715225","3","84.620000","54.76","0.352872"
"mad","easy","Feasible","0.068046","3","1.328200","0.0268","0.979822"
"graphdraw-domain","easy","Feasible","1.019082","6","28701.000000","19685.99997550038","0.314101"
"tr12-30","easy","Feasible","4.565703","2","142021.000000","130595.9999999999","0.080446"
"exp-1-500-5-5","easy","Feasible","1.990864","3","77741.000000","65887","0.152481"
"neos-3381206-awhea","easy","Feasible","4.797477","6","454.000000","453","0.002203"
"ic97_potential","easy","Solution not found (iteration limit exceded)","35.198863","10"," / ","3941.99993090225"," / "
"neos-3627168-kasai","easy","Feasible","7.592906","2","1030241.990000","988585.6199999998","0.040434"
"binkar10_1","easy","Feasible","0.541043","3","7187.750026","6742.1998835","0.061987"
"csched008","easy","Feasible","31.403596","4","181.000000","173","0.044199"
"csched007","easy","Feasible","56.155844","10","525.000000","350.9999999999955","0.331429"
"beasleyC3","easy","Feasible","56.981344","6","2368.000000","753.9999999999128","0.681588"
"p200x1188c","easy","Feasible","0.067996","1","1225692.000000","15078","0.987698"
"neos-4338804-snowy","hard","Feasible","2.670328","10","4282.000000","1471","0.656469"
"50v-10","easy","Feasible","0.035069","1","4565254.357966","3311.1799841","0.999275"
"pg","easy","Feasible","0.430899","1","-7335.945416","-8674.34260712","0.154294"
"mc11","easy","Feasible","1.219742","1","43451.000000","11688.99999999966","0.730984"
"gmu-35-40","easy","Feasible","114.809524","6","-2176537.883300","-2406733.3688","0.095646"
"neos-4954672-berkel","easy","Feasible","0.960783","2","3497112.000000","2612710","0.252895"
"mik-250-20-75-4","easy","Feasible","0.199676","5","231079.000000","-52301","1.000000"
"mcsched","easy","Solution not found (iteration limit exceded)","2.503368","10"," / ","211913"," / "
"pg5_34","easy","Feasible","0.445715","1","-13808.371451","-14339.35345","0.037030"
"n5-3","easy","Feasible","0.074617","1","9391100.000000","8104.999999993999","0.999137"
"lotsize","easy","Feasible","105.419481","5","2254176.000000","1480195","0.343354"
"ran14x18-disj-8","easy","Feasible","0.047697","1","15986.000000","3712","0.767797"
"rococoC10-001000","easy","Solution not found (iteration limit exceded)","6.985288","10"," / ","11460"," / "
"gmu-35-50","easy","Feasible","138.297239","7","-2470340.516700","-2607958.33","0.052768"
"b1c1s1","easy","Feasible","28.191984","2","31452.330000","24544.25","0.219637"
"uct-subprob","easy","Feasible","5.237767","3","373.000000","314","0.158177"
"neos17","easy","Feasible","1.976588","4","0.412682","0.1500025774","0.636518"
"bppc4-08","easy","Feasible","0.325509","4","79.000000","53","0.329114"
"qap10","easy","Solution not found (iteration limit exceded)","34.243191","10"," / ","339.9999999983871"," / "
"cvs16r128-89","easy","Solution not found (iteration limit exceded)","5.422984","10"," / ","-97"," / "
"milo-v12-6-r2-40-1","easy","Solution not found (iteration limit exceded)","445.627592","10"," / ","326481.14282799"," / "
"reblock115","easy","Feasible","210.173485","10","-35457821.865210","-36800603.2332","0.036488"
"fhnw-binpack4-48","easy","Solution not found (iteration limit exceded)","164.034345","10"," / ","0"," / "
"rococoB10-011000","easy","Solution not found (iteration limit exceded)","17.224734","10"," / ","19449"," / "
"roll3000","easy","Solution not found (iteration limit exceded)","25.776911","10"," / ","12889.999992"," / "
"cost266-UUE","easy","Feasible","39.063768","4","29407398.220000","25148940.55999998","0.144809"
"icir97_tension","easy","Feasible","64.371093","6","6598.000000","6375","0.033798"
"neos-3024952-loue","easy","Solution not found (time limit exceded)","337.565088","6"," / ","26756"," / "
"neos-4738912-atrato","easy","Solution not found (iteration limit exceded)","20.694645","10"," / ","283627956.595"," / "
"fastxgemm-n2r6s0t2","easy","Feasible","1.019772","1","527.000000","230","0.563567"
"nu25-pr12","easy","Solution not found (iteration limit exceded)","20.766837","10"," / ","53904.99999999999"," / "
"neos-5107597-kakapo","easy","Solution not found (iteration limit exceded)","229.972007","10"," / ","3644.99999999952"," / "
"neos-4387871-tavua","hard","Feasible","53.127536","5","58.355250","33.384729927","0.427905"
"sct2","easy","Feasible","6.731990","3","-196.747898","-230.9891623","0.148238"
"bnatt400","easy","Solution not found (iteration limit exceded)","12.624737","10"," / ","1"," / "
"app1-1","easy","Solution not found (iteration limit exceded)","31.836101","10"," / ","-3"," / "
"supportcase18","easy","Feasible","2.599491","5","58.000000","48","0.172414"
"seymour","easy","Feasible","1.205865","4","487.000000","423","0.131417"
"seymour1","easy","Feasible","19.350363","5","429.036158","410.76370139","0.042590"
"eil33-2","easy","Feasible","0.675365","6","1402.340311","934.007915999999","0.333965"
"rmatr100-p10","easy","Feasible","0.871422","2","486.000000","423","0.129630"
"bnatt500","easy","Solution not found (iteration limit exceded)","17.657108","10"," / ","Infeasible"," / "
"neos-3083819-nubu","easy","Solution not found (iteration limit exceded)","11.462159","10"," / ","6307996"," / "
"graph20-20-1rand","easy","Solution not found (iteration limit exceded)","9.425025","10"," / ","-9"," / "
