"ProblemName","Type","Status","Time (sec)","Iteration (n)","Objective value (ACS)","Objective value (optimal)","PrimalGap"
"markshare_4_0","easy","Feasible","0.036559","1","39.000000","1","0.974359"
"markshare2","hard","Feasible","19.431422","1","30.000000","1","0.966667"
"enlight_hard","easy","Bug OMIP","1.016349","5"," / ","37"," / "
"pk1","easy","Feasible","0.295055","1","38.000000","11","0.710526"
"neos5","easy","Feasible","0.168727","1","16.000000","15","0.062500"
"gen-ip054","easy","Feasible","0.009114","1","2880045943664.651367","6840.96564179","1.000000"
"neos859080","easy","Bug OMIP","1.193499","2"," / ","Infeasible"," / "
"timtab1","easy","Feasible","4.160454","4","965240.000000","764771.99999978","0.207687"
"neos-3046615-murg","easy","Feasible","0.703677","6","42145099959.000000","1600","1.000000"
"sp150x300d","easy","Feasible","1.027101","5","127.000000","69","0.456693"
"mas76","easy","Feasible","1.085822","2","41726.145936","40005.05398999999","0.041247"
"mas74","easy","Feasible","952.833497","2","15863.576065","11801.18572","0.256083"
"glass4","easy","Feasible","1.170440","4","2200020233.333336","1200012599.972384","0.454545"
"neos-3754480-nidda","easy","Feasible","0.307879","1","14124.757337","12941.73838561778","0.083755"
"neos-2657525-crna","easy","Bug OMIP","1.746992","8"," / ","1.810748"," / "
"assign1-5-8","easy","Feasible","0.523791","2","227.000000","211.999999999998","0.066079"
"fhnw-binpack4-4","easy","Solution not found (iteration limit exceded)","1079.872889","10"," / ","Infeasible"," / "
"supportcase26","easy","Bug OMIP","0.998788","3"," / ","1745.123813"," / "
"neos-911970","easy","Feasible","1.094116","3","128.590000","54.76","0.574150"
"mad","easy","Feasible","1800.861689","2","0.532800","0.0268","0.949700"
"graphdraw-domain","easy","Feasible","1.765618","3","37780.000000","19685.99997550038","0.478931"
"tr12-30","easy","Feasible","6.019055","2","141979.000000","130595.9999999999","0.080174"
"exp-1-500-5-5","easy","Feasible","2.185435","2","89905.000000","65887","0.267149"
"neos-3381206-awhea","easy","Feasible","5.448672","7","457.000000","453","0.008753"
"ic97_potential","easy","Bug OMIP","3409.680925","8"," / ","3941.99993090225"," / "
"neos-3627168-kasai","easy","Feasible","2.234623","2","1049791.870000","988585.6199999998","0.058303"
"binkar10_1","easy","Feasible","0.871033","3","7172.280002","6742.1998835","0.059964"
"csched008","easy","Feasible","1.759896","4","186.000000","173","0.069892"
"csched007","easy","Bug OMIP","2.203041","3"," / ","350.9999999999955"," / "
"beasleyC3","easy","Feasible","1831.019640","4","2278.000000","753.9999999999128","0.669008"
"p200x1188c","easy","Feasible","0.068325","1","1137614.000000","15078","0.986746"
"neos-4338804-snowy","hard","Bug OMIP","1.627353","3"," / ","1471"," / "
"50v-10","easy","Feasible","0.021860","1","4479192.378228","3311.1799841","0.999261"
"pg","easy","Feasible","0.890979","1","-7696.418070","-8674.34260712","0.112738"
"mc11","easy","Feasible","18.550951","2","27221.000000","11688.99999999966","0.570589"
"gmu-35-40","easy","Feasible","3642.757138","5","-2265074.882600","-2406733.3688","0.058859"
"neos-4954672-berkel","easy","Feasible","0.148264","1","3807304.333333","2612710","0.313764"
"mik-250-20-75-4","easy","Feasible","0.524073","4","189569.000000","-52301","1.000000"
"mcsched","easy","Solution not found (iteration limit exceded)","2.417523","10"," / ","211913"," / "
"pg5_34","easy","Feasible","2.563706","1","-13560.396212","-14339.35345","0.054323"
"n5-3","easy","Feasible","0.067903","1","10221725.000000","8104.999999993999","0.999207"
"lotsize","easy","Feasible","1842.879368","5","2313685.000000","1480195","0.360244"
"ran14x18-disj-8","easy","Feasible","0.053316","1","14341.000000","3712","0.741162"
"rococoC10-001000","easy","Solution not found (iteration limit exceded)","5.342714","10"," / ","11460"," / "
"gmu-35-50","easy","Feasible","5470.150950","7","-2572161.654700","-2607958.33","0.013726"
"b1c1s1","easy","Bug OMIP","0.111437","0"," / ","24544.25"," / "
"uct-subprob","easy","Feasible","2.051334","3","363.000000","314","0.134986"
"neos17","easy","Bug OMIP","0.013559","0"," / ","0.1500025774"," / "
"bppc4-08","easy","Feasible","0.910604","4","60.000000","53","0.116667"
"qap10","easy","Feasible","1806.555917","10","550.000000","339.9999999983871","0.381818"
"cvs16r128-89","easy","Solution not found (iteration limit exceded)","8.481153","10"," / ","-97"," / "
"milo-v12-6-r2-40-1","easy","Bug OMIP","1829.009474","5"," / ","326481.14282799"," / "
"reblock115","easy","Feasible","5479.709120","9","-35837934.556014","-36800603.2332","0.026159"
"fhnw-binpack4-48","easy","Solution not found (time limit exceded)","3404.028450","4"," / ","0"," / "
"rococoB10-011000","easy","Solution not found (iteration limit exceded)","19.660942","10"," / ","19449"," / "
"roll3000","easy","Bug OMIP","9.276576","8"," / ","12889.999992"," / "
"cost266-UUE","easy","Bug OMIP","13.179182","3"," / ","25148940.55999998"," / "
"icir97_tension","easy","Feasible","44.729246","7","6585.000000","6375","0.031891"
"neos-3024952-loue","easy","Feasible","410.358580","10","120482.000000","26756","0.777925"
"neos-4738912-atrato","easy","Solution not found (iteration limit exceded)","21.635736","10"," / ","283627956.595"," / "
"fastxgemm-n2r6s0t2","easy","Feasible","5.268582","2","827.000000","230","0.721886"
"nu25-pr12","easy","Solution not found (iteration limit exceded)","18.359742","10"," / ","53904.99999999999"," / "
"neos-5107597-kakapo","easy","Solution not found (iteration limit exceded)","166.740689","10"," / ","3644.99999999952"," / "
"neos-4387871-tavua","hard","Feasible","10.861273","2","97.325770","33.384729927","0.656980"
"sct2","easy","Feasible","15.834632","4","-228.756139","-230.9891623","0.009667"
"bnatt400","easy","Bug OMIP","2.513211","2"," / ","1"," / "
"app1-1","easy","Bug OMIP","30.583630","0"," / ","-3"," / "
"supportcase18","easy","Feasible","2.326786","6","57.000000","48","0.157895"
"seymour","easy","Feasible","0.864528","3","478.000000","423","0.115063"
"seymour1","easy","Feasible","24.135571","4","431.417203","410.76370139","0.047874"
"eil33-2","easy","Feasible","0.393510","6","2227.380313","934.007915999999","0.580670"
"rmatr100-p10","easy","Feasible","0.496731","2","501.000000","423","0.155689"
"bnatt500","easy","Bug OMIP","10.942155","2"," / ","Infeasible"," / "
"neos-3083819-nubu","easy","Solution not found (iteration limit exceded)","7.752477","10"," / ","6307996"," / "
"graph20-20-1rand","easy","Solution not found (iteration limit exceded)","13.560493","10"," / ","-9"," / "
"neos-1582420","easy","Solution not found (iteration limit exceded)","3.504789","10"," / ","90.99999999999996"," / "
"swath1","easy","Feasible","1.324501","4","547.461088","379.07129575","0.307583"
"swath3","easy","Feasible","2.309070","5","424.561264","397.76134365","0.063124"
"peg-solitaire-a3","easy","Bug OMIP","9.478933","3"," / ","1"," / "
"neos-1456979","easy","Bug OMIP","42.690995","3"," / ","176"," / "
"cod105","easy","Feasible","45.277516","6","-12.000000","-12","0.000000"
"h80x6320d","easy","Feasible","63.653064","4","10922.494093","6382.099048245999","0.415692"
"air05","easy","Feasible","6.149111","8","35888.000000","26374","0.265103"
"rocI-4-11","easy","Bug OMIP","69.383473","7"," / ","-6020203"," / "
"neos-1445765","easy","Solution not found (time limit exceded)","180.749641","3"," / ","-17783"," / "
"neos-1171737","easy","Feasible","66.750779","3","-195.000000","-195","0.000000"
"glass-sc","easy","Feasible","0.046968","1","49.000000","23","0.530612"
"drayage-100-23","easy","Feasible","18.692560","7","219444.314747","103333.87407","0.529111"
"drayage-25-23","easy","Feasible","37.474904","5","161457.348633","101282.647018","0.372697"
"nexp-150-20-8-5","easy","Feasible","85.717887","4","465.000000","231","0.503226"
"ns1208400","easy","Bug OMIP","62.355378","2"," / ","2"," / "
"traininstance6","easy","Bug OMIP","36.424658","8"," / ","28290"," / "
"dano3_3","easy","Feasible","67.843639","3","578.575311","576.34463303","0.003855"
"dano3_5","easy","Feasible","97.274567","3","578.814853","576.9249159565619","0.003265"
"neos-2978193-inde","easy","Feasible","0.334326","1","-2.171134","-2.38806169","0.090838"
"neos-3004026-krka","easy","Solution not found (time limit exceded)","174.206816","3"," / ","0"," / "
"traininstance2","easy","Solution not found (iteration limit exceded)","83.057940","10"," / ","71820"," / "
"wachplan","easy","Solution not found (iteration limit exceded)","3.562001","10"," / ","-8"," / "
"CMS750_4","easy","Feasible","34.342945","3","575.000000","252","0.561739"
"piperout-08","easy","Bug OMIP","66.983375","8"," / ","125054.9999999999"," / "
"ns1830653","easy","Bug OMIP","67.448763","2"," / ","20622"," / "
"decomp2","easy","Bug OMIP","14.492856","5"," / ","-160"," / "
"comp21-2idx","easy","Feasible","28.175785","7","3925.000000","74","0.981146"
"neos-3216931-puriri","easy","Solution not found (iteration limit exceded)","317.835751","10"," / ","71320"," / "
"dws008-01","easy","Bug OMIP","107.199502","3"," / ","37412.60458794508"," / "
"neos-3656078-kumeu","hard","Solution not found (time limit exceded)","380.110423","6"," / ","-13172.2"," / "
"piperout-27","easy","Solution not found (iteration limit exceded)","140.933453","10"," / ","8123.999999999973"," / "
"istanbul-no-cutoff","easy","Feasible","5.511021","2","218.838142","204.08170701","0.067431"
"trento1","easy","Feasible","1.435863","2","1114806214.003900","5189487","0.995345"
"cbs-cta","easy","Feasible","0.751045","1","563.156696","0","1.000000"
"net12","easy","Solution not found (iteration limit exceded)","24.029069","10"," / ","214"," / "
"fiball","easy","Feasible","101.672625","10","190.000000","138","0.273684"
"mzzv11","easy","Solution not found (iteration limit exceded)","152.414621","10"," / ","-21718"," / "
"leo1","easy","Feasible","0.262056","4","890129411.680000","404227536.16","0.545878"
"irp","easy","Feasible","0.757158","5","12931.970174","12159.49283539698","0.059734"
"mzzv42z","easy","Solution not found (iteration limit exceded)","121.076613","10"," / ","-20540"," / "
"neos-950242","easy","Solution not found (iteration limit exceded)","13.747536","10"," / ","4"," / "
"neos-1354092","easy","Solution not found (time limit exceded)","94.676468","2"," / ","46"," / "
"30n20b8","easy","Bug OMIP","9.342258","7"," / ","302"," / "
"comp07-2idx","easy","Bug OMIP","31.503493","6"," / ","6"," / "
"neos-1171448","easy","Feasible","35.835388","3","-309.000000","-309","0.000000"
"neos-827175","easy","Feasible","97.213371","6","114.002030","112.00152","0.017548"
"neos-5188808-nattai","easy","Feasible","13.247600","3","2.257118","0.110283622999984","0.951140"
"satellites2-60-fs","easy","Solution not found (time limit exceded)","471.230801","9"," / ","-19.0000000001"," / "
"neos-662469","easy","Feasible","114.224255","10","1757915.000000","184379.9999999999","0.895114"
"momentum1","easy","Bug OMIP","75.361910","4"," / ","109143.4935"," / "
"mushroom-best","easy","Feasible","53.962365","2","2908.466961","0.0553337612","0.999981"
"germanrr","easy","Feasible","312.518580","9","52110550.373000","47095869.649","0.096232"
"rmatr200-p5","easy","Feasible","40.128091","4","4691.000000","4521","0.036240"
"unitcal_7","easy","Bug OMIP","159.907507","3"," / ","19635558.244"," / "
"radiationm18-12-05","easy","Solution not found (time limit exceded)","250.893951","8"," / ","17566"," / "
"supportcase40","easy","Feasible","43.301483","4","41951.526372","24256.3122898","0.421801"
"n2seq36q","easy","Feasible","1.766608","5","207600.000000","52200","0.748555"
"leo2","easy","Feasible","0.274761","4","4197312967.919999","404077441.12","0.903729"
"neos-960392","easy","Bug OMIP","36.629114","8"," / ","-238"," / "
"cmflsp50-24-8-8","easy","Bug OMIP","187.186475","3"," / ","55789389.886"," / "
"neos-5195221-niemur","easy","Solution not found (iteration limit exceded)","48.152633","10"," / ","0.0038354326"," / "
"nursesched-sprint02","easy","Solution not found (iteration limit exceded)","10.608915","10"," / ","57.99999999999999"," / "
"tbfp-network","easy","Feasible","46.459882","8","108.229167","24.16319444","0.776740"
"blp-ic98","easy","Feasible","1.945935","5","5447.913966","4491.44758395","0.175566"
"neos-860300","easy","Feasible","1.126696","5","6043.000000","3200.999999999998","0.470296"
"blp-ar98","easy","Feasible","7.496172","5","8152.351533","6205.2147104","0.238844"
"neos-933966","easy","Feasible","156.421541","7","45431.000000","318","0.993000"
"lectsched-5-obj","easy","Solution not found (iteration limit exceded)","504.965443","10"," / ","24"," / "
"chromaticindex512-7","easy","Feasible","54.585696","8","4.000000","4","0.000000"
