"ProblemName","Type","Status","Time (sec)","Iteration (n)","Objective value (ACS)","Objective value (optimal)","PrimalGap"
"markshare_4_0","easy","Feasible","0.969421","1","9.000000","1","0.888889"
"markshare2","hard","Feasible","30.025245","1","18.000000","1","0.944444"
"enlight_hard","easy","Solution not found (iteration limit exceded)","46.206043","20"," / ","37"," / "
"pk1","easy","Feasible","1.354979","1","22.000000","11","0.500000"
"neos5","easy","Feasible","0.008554","1","16.500000","15","0.090909"
"gen-ip054","easy","Feasible","0.003454","1","35459541.839126","6840.96564179","0.999807"
"neos859080","easy","Solution not found (iteration limit exceded)","1.577056","20"," / ","Infeasible"," / "
"timtab1","easy","Feasible","6.998757","3","982813.000000","764771.99999978","0.221854"
"neos-3046615-murg","easy","Feasible","0.354422","3","651611.000000","1600","0.997545"
"sp150x300d","easy","Feasible","0.269915","3","102.000000","69","0.323529"
"mas76","easy","Feasible","0.508311","1","51630.626531","40005.05398999999","0.225168"
"mas74","easy","Feasible","24.461155","1","19844.208959","11801.18572","0.405308"
"gen-ip002","easy","Feasible","6.820484","5","-4729.675991","-4783.733392","0.011300"
"glass4","easy","Feasible","2.932861","2","1933351700.000000","1200012599.972384","0.379310"
"neos-3754480-nidda","easy","Feasible","30.021799","1","13500.422357","12941.73838561778","0.041383"
"neos-2657525-crna","easy","Solution not found (iteration limit exceded)","17.489938","20"," / ","1.810748"," / "
"assign1-5-8","easy","Feasible","30.418343","2","214.000000","211.999999999998","0.009346"
"fhnw-binpack4-4","easy","Solution not found (iteration limit exceded)","38.274306","20"," / ","Infeasible"," / "
"supportcase26","easy","Feasible","6.442177","12","1928.517636","1745.123813","0.095096"
"neos-911970","easy","Feasible","6.532323","2","77.710000","54.76","0.295329"
"mad","easy","Feasible","1.098703","2","0.434400","0.0268","0.938306"
"graphdraw-domain","easy","Feasible","1.975150","3","31217.000000","19685.99997550038","0.369382"
"tr12-30","easy","Feasible","11.218676","1","135749.000000","130595.9999999999","0.037960"
"exp-1-500-5-5","easy","Feasible","2.822042","2","70759.000000","65887","0.068853"
"neos-3381206-awhea","easy","Feasible","16.629997","4","457.000000","453","0.008753"
"ic97_potential","easy","Feasible","105.919563","13","4019.000000","3941.99993090225","0.019159"
"neos-3627168-kasai","easy","Feasible","6.975297","1","1013421.860000","988585.6199999998","0.024507"
"binkar10_1","easy","Feasible","0.577134","2","7137.460006","6742.1998835","0.055378"
"csched008","easy","Feasible","1.392372","3","181.000000","173","0.044199"
"csched007","easy","Feasible","47.738100","4","475.000000","350.9999999999955","0.261053"
"beasleyC3","easy","Feasible","32.431548","2","1635.000000","753.9999999999128","0.538838"
"p200x1188c","easy","Feasible","0.038817","1","653809.000000","15078","0.976938"
"neos-4338804-snowy","hard","Feasible","0.765813","4","2135.000000","1471","0.311007"
