"ProblemName","Type","Status","Time (sec)","Iteration (n)","Objective value (ACS)","Objective value (optimal)","PrimalGap"
"markshare_4_0","easy","Feasible","1.416527","1","9.000000","1","0.888889"
"markshare2","hard","Feasible","25.041709","1","30.000000","1","0.966667"
"enlight_hard","easy","Solution not found (iteration limit exceded)","30.066398","10"," / ","37"," / "
"pk1","easy","Feasible","0.937895","1","22.000000","11","0.500000"
"neos5","easy","Feasible","0.036824","1","15.500000","15","0.032258"
"gen-ip054","easy","Feasible","0.004261","1","37379342.475494","6840.96564179","0.999817"
"neos859080","easy","Solution not found (iteration limit exceded)","0.411750","10"," / ","Infeasible"," / "
"timtab1","easy","Feasible","7.943899","3","932292.000000","764771.99999978","0.179686"
"neos-3046615-murg","easy","Feasible","37.584698","6","1993.000000","1600","0.197190"
"sp150x300d","easy","Feasible","0.490354","3","97.000000","69","0.288660"
"mas76","easy","Feasible","3.001772","2","40748.387768","40005.05398999999","0.018242"
"mas74","easy","Feasible","9.500106","1","14573.955651","11801.18572","0.190255"
"gen-ip002","easy","Feasible","25.054427","2","-4632.722284","-4783.733392","0.031568"
"glass4","easy","Feasible","4.783052","3","1800017375.000000","1200012599.972384","0.333333"
"neos-3754480-nidda","easy","Feasible","7.929540","1","14279.896974","12941.73838561778","0.093709"
"neos-2657525-crna","easy","Solution not found (iteration limit exceded)","11.409257","10"," / ","1.810748"," / "
"assign1-5-8","easy","Feasible","16.503957","3","217.000000","211.999999999998","0.023041"
"fhnw-binpack4-4","easy","Solution not found (iteration limit exceded)","26.454539","10"," / ","Infeasible"," / "
"supportcase26","easy","Solution not found (iteration limit exceded)","4.947023","10"," / ","1745.123813"," / "
"neos-911970","easy","Feasible","25.105140","2","63.980000","54.76","0.144108"
"mad","easy","Feasible","13.690472","2","0.078400","0.0268","0.658163"
"graphdraw-domain","easy","Feasible","3.538646","2","25258.000000","19685.99997550038","0.220603"
"tr12-30","easy","Feasible","25.206502","1","134482.000000","130595.9999999999","0.028896"
"exp-1-500-5-5","easy","Feasible","4.479360","2","77420.000000","65887","0.148967"
"neos-3381206-awhea","easy","Feasible","9.276893","4","457.000000","453","0.008753"
"ic97_potential","easy","Feasible","77.858345","4","4091.000000","3941.99993090225","0.036421"
"neos-3627168-kasai","easy","Feasible","2.436528","1","1019864.400000","988585.6199999998","0.030670"
"binkar10_1","easy","Feasible","0.380700","1","7027.270012","6742.1998835","0.040566"
"csched008","easy","Feasible","35.437148","4","180.000000","173","0.038889"
"csched007","easy","Feasible","15.729202","2","406.000000","350.9999999999955","0.135468"
"beasleyC3","easy","Feasible","27.772097","2","1650.000000","753.9999999999128","0.543030"
"p200x1188c","easy","Feasible","0.084309","1","659007.000000","15078","0.977120"
"neos-4338804-snowy","hard","Feasible","0.930457","4","2226.000000","1471","0.339173"
"50v-10","easy","Feasible","0.026052","1","2431404.043602","3311.1799841","0.998638"
"pg","easy","Feasible","1.455606","1","-8159.466908","-8674.34260712","0.059356"
"mc11","easy","Feasible","21.479815","1","32801.000000","11688.99999999966","0.643639"
"gmu-35-40","easy","Feasible","100.162933","3","-2330741.304700","-2406733.3688","0.031575"
"neos-4954672-berkel","easy","Feasible","4.215955","1","3412334.000000","2612710","0.234333"
"mik-250-20-75-4","easy","Feasible","0.483067","3","121195.000000","-52301","1.000000"
"mcsched","easy","Solution not found (iteration limit exceded)","3.432619","10"," / ","211913"," / "
"pg5_34","easy","Feasible","1.745401","1","-13805.809609","-14339.35345","0.037208"
"n5-3","easy","Feasible","0.096368","1","6086290.000000","8104.999999993999","0.998668"
"lotsize","easy","Feasible","39.517641","2","1636226.000000","1480195","0.095360"
"ran14x18-disj-8","easy","Feasible","0.050897","1","9126.000000","3712","0.593250"
"rococoC10-001000","easy","Feasible","5.591640","7","35376.000000","11460","0.676052"
"gmu-35-50","easy","Feasible","89.503705","3","-2564936.787300","-2607958.33","0.016496"
"b1c1s1","easy","Feasible","75.640731","3","30292.560000","24544.25","0.189760"
"uct-subprob","easy","Feasible","50.086448","2","331.000000","314","0.051360"
"neos17","easy","Feasible","21.852953","3","0.316797","0.1500025774","0.526503"
"bppc4-08","easy","Feasible","0.195305","2","57.000000","53","0.070175"
"qap10","easy","Feasible","31.238575","5","572.000000","339.9999999983871","0.405594"
"cvs16r128-89","easy","Feasible","24.041735","7","-88.000000","-97","0.092784"
"milo-v12-6-r2-40-1","easy","Solution not found (iteration limit exceded)","479.543806","10"," / ","326481.14282799"," / "
"reblock115","easy","Feasible","77.655686","4","-34634209.942304","-36800603.2332","0.058868"
"fhnw-binpack4-48","easy","Solution not found (time limit exceded)","148.098922","4"," / ","0"," / "
"rococoB10-011000","easy","Feasible","99.457006","10","38139.000000","19449","0.490050"
"roll3000","easy","Feasible","82.330968","6","13549.000000","12889.999992","0.048638"
"cost266-UUE","easy","Feasible","50.311365","2","28192675.320000","25148940.55999998","0.107962"
"icir97_tension","easy","Feasible","50.050438","3","6624.000000","6375","0.037591"
"neos-3024952-loue","easy","Solution not found (time limit exceded)","155.983052","3"," / ","26756"," / "
"neos-4738912-atrato","easy","Feasible","43.901870","6","947035528.717190","283627956.595","0.700510"
"fastxgemm-n2r6s0t2","easy","Feasible","50.311289","2","527.000000","230","0.563567"
"nu25-pr12","easy","Feasible","148.164254","10","64645.000000","53904.99999999999","0.166138"
"neos-5107597-kakapo","easy","Feasible","123.437513","9","22563.000000","3644.99999999952","0.838452"
"neos-4387871-tavua","hard","Feasible","27.219041","2","55.869990","33.384729927","0.402457"
"sct2","easy","Feasible","8.539246","3","-230.559277","-230.9891623","0.001861"
"bnatt400","easy","Solution not found (time limit exceded)","141.931729","4"," / ","1"," / "
"app1-1","easy","Solution not found (iteration limit exceded)","26.085675","10"," / ","-3"," / "
"supportcase18","easy","Feasible","25.824874","3","49.000000","48","0.020408"
"seymour","easy","Feasible","7.290121","2","454.000000","423","0.068282"
"seymour1","easy","Feasible","20.936170","2","420.253000","410.76370139","0.022580"
"eil33-2","easy","Feasible","1.824401","4","1115.606665","934.007915999999","0.162780"
"rmatr100-p10","easy","Feasible","0.404470","1","502.000000","423","0.157371"
"bnatt500","easy","Solution not found (time limit exceded)","164.595938","4"," / ","Infeasible"," / "
"neos-3083819-nubu","easy","Feasible","9.808614","8","6559353.000000","6307996","0.038320"
"graph20-20-1rand","easy","Solution not found (iteration limit exceded)","103.972723","10"," / ","-9"," / "
"neos-1582420","easy","Feasible","2.171217","4","128.000000","90.99999999999996","0.289063"
"swath1","easy","Feasible","1.340329","3","380.748251","379.07129575","0.004404"
"swath3","easy","Feasible","6.325224","3","400.394712","397.76134365","0.006577"
"peg-solitaire-a3","easy","Solution not found (time limit exceded)","104.873249","3"," / ","1"," / "
"neos-1456979","easy","Feasible","25.040902","4","213.000000","176","0.173709"
"cod105","easy","Feasible","63.575297","4","-12.000000","-12","0.000000"
"h80x6320d","easy","Feasible","34.751969","3","7862.820840","6382.099048245999","0.188319"
"air05","easy","Feasible","8.068446","4","34026.000000","26374","0.224887"
"rocI-4-11","easy","Solution not found (time limit exceded)","205.707707","4"," / ","-6020203"," / "
"neos-1445765","easy","Solution not found (time limit exceded)","100.609612","2"," / ","-17783"," / "
"neos-1171737","easy","Feasible","37.046346","2","-195.000000","-195","0.000000"
"glass-sc","easy","Feasible","0.554425","1","42.000000","23","0.452381"
"drayage-100-23","easy","Feasible","23.514035","4","124876.957912","103333.87407","0.172514"
"drayage-25-23","easy","Feasible","2.596383","3","137187.504272","101282.647018","0.261721"
"nexp-150-20-8-5","easy","Feasible","26.043107","2","355.000000","231","0.349296"
"ns1208400","easy","Solution not found (time limit exceded)","175.209218","3"," / ","2"," / "
"traininstance6","easy","Feasible","39.216871","7","554120.000000","28290","0.948946"
"dano3_3","easy","Feasible","22.421122","3","576.344633","576.34463303","0.000000"
